date,product,category,quantity,price,revenue
2026-01-05,Laptop,Electronics,2,800,1600
2026-01-08,Mouse,Electronics,5,25,125
2026-01-12,Keyboard,Electronics,3,50,150
2026-01-15,Monitor,Electronics,2,300,600
2026-01-20,Desk,Furniture,1,450,450
2026-02-03,Laptop,Electronics,1,800,800
2026-02-07,Chair,Furniture,4,150,600
2026-02-10,Mouse,Electronics,10,25,250
2026-02-18,Monitor,Electronics,3,300,900
2026-02-25,Desk,Furniture,2,450,900
2026-03-02,Laptop,Electronics,3,800,2400
2026-03-09,Keyboard,Electronics,6,50,300
2026-03-15,Chair,Furniture,2,150,300
2026-03-20,Monitor,Electronics,4,300,1200
2026-03-28,Mouse,Electronics,8,25,200
